Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Aircraft_Category,Registration_Number,Make,Model,Amateur_Built,Number_Of_Engines,Engine_Type,Far_Description,Schedule,Purpose_Of_Flight,Air_Carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_Of_Flight,Report_Status,Publication_Date,Total_Passengers,Fatal_Injury_Proportion,Uninjured_Proportion
20020917X03634,Accident,LAX82DVG24,1982-05-07,"MAXWELL, CA",United States,,,,FARMER STRIP,Non-Fatal,Substantial,Airplane,N5050V,Boeing,A75,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,07-05-1983,1.0,0.0,0.0
20020917X03717,Accident,LAX82FVG23,1982-05-08,"PLEASANT GROVE, CA",United States,,,,CATLETT AG STRIP,Fatal(1),Substantial,Airplane,N68820,Boeing,A75N1,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,1.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,08-05-1983,2.0,0.5,0.5
20020917X03266,Accident,FTW82DA185,1982-05-16,"FABENS, TX",United States,,,E35,FABENS,Non-Fatal,Substantial,Airplane,N55971,Boeing,A75N1,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,16-05-1983,1.0,0.0,1.0
20020917X02748,Accident,ATL82DA158,1982-05-16,"LOUISVILLE, KY",United States,,,,SNODGRASS,Non-Fatal,Substantial,Airplane,N631E,Boeing,E75N1,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,16-05-1983,1.0,0.0,1.0
20020917X03199,Accident,DEN82DTG04,1982-05-21,"NORTHWOOD, ND",United States,,,3ND0,VINCE AIRPORT,Non-Fatal,Substantial,Airplane,N65501,Boeing,A75N1,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Unknown,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,21-05-1983,1.0,0.0,1.0
20020917X02931,Accident,CHI82DA184,1982-05-22,"ALLIANCE, OH",United States,,,4G3,GREAT LAKES AEROPORT,Non-Fatal,Substantial,Airplane,N65544,Boeing,B75N1,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,22-05-1983,2.0,0.0,1.0
20020917X03305,Accident,FTW82DA227,1982-06-16,"PICHER, OK",United States,,,,,Non-Fatal,Substantial,Airplane,N450LR,Boeing,75A,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Unknown,,0.0,0.0,0.0,1.0,VMC,Climb,Probable Cause,16-06-1983,1.0,0.0,1.0
20020917X03358,Accident,FTW82DA282,1982-06-20,"TULSA, OK",United States,,,RVS,JONES-RIVERSIDE,Non-Fatal,Substantial,Airplane,N555,Boeing,A75L300,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,20-06-1983,2.0,0.0,1.0
20020917X03442,Accident,FTW82DRJ19A,1982-06-27,"LUFKIN, TX",United States,,,,ANGELINA,Non-Fatal,Minor,Airplane,N59257,Boeing,B-75,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,27-06-1983,2.0,0.0,1.0
20020917X02963,Accident,CHI82DA225,1982-06-27,"BLOOMINGTON, IL",United States,,,BMI,BLOOMINGTON,Non-Fatal,Substantial,Airplane,N5180N,Boeing,E75,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,27-06-1983,2.0,0.0,1.0
20020917X03469,Accident,FTW82FPM13,1982-07-07,"TULSA, OK",United States,,,,SAUDRIDE,Non-Fatal,Substantial,Airplane,N69CB,Boeing,A75,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,07-07-1983,1.0,0.0,0.0
20020917X03104,Accident,DCA82AA028,1982-07-09,"NEW ORLEANS, LA",United States,,,,,Fatal(153),Destroyed,,N4737,Boeing,727-235,No,3.0,Turbo Fan,,SCHD,Unknown,Pan American World A/w,153.0,9.0,0.0,7.0,VMC,Takeoff,Probable Cause,09-07-1983,169.0,0.9053254437869822,0.04142011834319527
20020917X03633,Accident,LAX82DVA15,1982-07-09,"MADERA, CA",United States,,,,MADERO,Non-Fatal,Substantial,Airplane,N6201,Boeing,N2S-1-A-75A,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,UNK,Landing,Probable Cause,09-07-1983,1.0,0.0,1.0
20020917X04067,Incident,NYC82IA170,1982-07-28,"FLUSHING, NY",United States,,,LGA,LAGUARDIA,Incident,Minor,Airplane,N64323,Boeing,727-231,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,Trans World Airlines,0.0,0.0,0.0,129.0,IMC,Approach,Probable Cause,28-07-1983,129.0,0.0,1.0
20020917X04015,Accident,NYC82DNC12,1982-07-31,"HAMLIN, ME",United States,,,,,Non-Fatal,Substantial,Airplane,N1344M,Boeing,PT-17,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Unknown,,0.0,0.0,0.0,1.0,VMC,Climb,Probable Cause,31-07-1983,1.0,0.0,1.0
20020917X03240,Incident,DEN82IA154,1982-08-05,"DENVER, CO",United States,,,DEN,STAPLETON INTERNATIONAL,Incident,Minor,Airplane,N7356F,Boeing,737-291,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,"Frontier Airlines, Inc.",0.0,0.0,0.0,102.0,VMC,Takeoff,Probable Cause,05-08-1983,102.0,0.0,1.0
20020917X03020,Accident,CHI82DA295,1982-08-05,"WHITEHALL, WI",United States,,,,,Non-Fatal,Substantial,Airplane,N802RB,Boeing,A75-300N1,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,IMC,Cruise,Probable Cause,05-08-1983,1.0,0.0,1.0
20020917X03414,Accident,FTW82DA341,1982-08-11,"MONAHANS, TX",United States,,,EO1,HURD MEMORIAL,Non-Fatal,Substantial,Airplane,N450HS,Boeing,E75,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,11-08-1983,1.0,0.0,1.0
20020917X03898,Incident,MKC82IA143,1982-08-12,"NORTH PLATTE, NE",United States,,,LBF,LEE BIRD FIELD,Incident,Minor,Airplane,N7345F,Boeing,737-291,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,,0.0,0.0,33.0,0.0,IMC,Approach,Probable Cause,12-08-1983,33.0,0.0,0.0
20020917X03778,Accident,MIA82DA176,1982-08-31,"MADISON, FL",United States,,,,,Non-Fatal,Substantial,Airplane,N59998,Boeing,A75N1,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Unknown,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,31-08-1983,1.0,0.0,1.0
20020917X04491,Incident,DCA82IA031,1982-09-02,"WASHINGTON, DC",United States,,,DCA,WASHINGTON NATIONAL,Incident,,Airplane,N288WA,Boeing,727,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,"Western Airlines, Inc.",0.0,1.0,1.0,128.0,VMC,Descent,Probable Cause,02-09-1983,130.0,0.0,0.9846153846153847
20020917X05026,Accident,NYC82DA215,1982-09-05,"BRIDGEPORT, NJ",United States,,,N83,BRIDGEPORT,Non-Fatal,Substantial,Airplane,N23807,Boeing,A75N1,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,05-09-1983,1.0,0.0,1.0
20001218X45445,Incident,FTW83IA005,1982-10-03,"KENNER, LA",United States,,,MSY,MOISANT,Incident,,,N817EA,Boeing,727-225A,No,3.0,Turbo Jet,,SCHD,Unknown,Eastern Airlines Inc.,0.0,0.0,0.0,112.0,VMC,Takeoff,Probable Cause,,112.0,0.0,1.0
20020917X04882,Accident,LAX83LVD01,1982-10-10,"FT. BRAGG, CA",United States,,,,VIRGIN CREEK,Non-Fatal,Destroyed,Airplane,N56772,Boeing,A75,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Go-around,Probable Cause,10-10-1983,1.0,0.0,0.0
20020917X05130,Accident,SEA83FA009,1982-10-14,"CASCADE, ID",United States,,,,,Fatal(2),Destroyed,Helicopter,N6676D,Boeing,107,No,2.0,Turbo Shaft,Part 133: Rotorcraft Ext. Load,UNK,Unknown,,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,14-10-1983,2.0,1.0,0.0
20020917X04699,Accident,FTW83LA033,1982-11-02,"AUSTIN, TX",United States,,,,,Non-Fatal,,Airplane,N55SW,Boeing,737-200,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,S.w. Airlines Inc.,0.0,1.0,0.0,67.0,VMC,Climb,Probable Cause,02-11-1983,68.0,0.0,0.9852941176470589
20020917X04908,Accident,MIA83FA027,1982-11-11,"MIAMI, FL",United States,,,,,Fatal(1),,Airplane,N707GB,Boeing,707-300,No,4.0,Turbo Fan,Part 121: Air Carrier,NSCH,Unknown,Arrow Airways,1.0,0.0,0.0,3.0,VMC,Climb,Probable Cause,11-11-1983,4.0,0.25,0.75
20020917X04669,Incident,FTW83IA044,1982-11-22,"LITTLE ROCK, AR",United States,,,LIT,ADAMS,Incident,Minor,Airplane,N846AA,Boeing,727-223,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,American Airlines,0.0,0.0,0.0,23.0,IMC,Landing,Probable Cause,22-11-1983,23.0,0.0,1.0
20020917X04910,Accident,MIA83FA036,1982-11-27,"MIAMI, FL",United States,,,MIA,MIAMI INTERNATIONAL,Non-Fatal,Substantial,Airplane,HK284,Boeing,707-323C,No,4.0,Turbo Fan,Part 129: Foreign,SCHD,Unknown,Aerotal Ltda.,0.0,0.0,0.0,116.0,VMC,Takeoff,Probable Cause,27-11-1983,116.0,0.0,1.0
20020917X04339,Incident,ATL83IA050,1982-12-05,"WINSTON-SALEM, NC",United States,,,INT,SMITH REYNOLDS,Incident,Minor,Airplane,N798N,Boeing,737-201,No,2.0,Turbo Fan,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,5.0,VMC,Approach,Probable Cause,05-12-1983,5.0,0.0,1.0
20020917X04915,Incident,MIA83IA043,1982-12-06,"SARASOTA, FL",United States,,,SRQ,SARASOTA-BRADENTON,Incident,Minor,Airplane,N8871Z,Boeing,727-225,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,"Eastern Airlines, Inc.",0.0,0.0,0.0,21.0,VMC,Takeoff,Probable Cause,06-12-1983,21.0,0.0,1.0
20020917X04570,Accident,DEN83LA026,1982-12-09,"DENVER, CO",United States,,,,STAPELTON INTERNATIONAL,Non-Fatal,,Airplane,N7346F,Boeing,737-291,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,"Frontier Airlines, Inc.",0.0,0.0,0.0,57.0,VMC,Taxi,Probable Cause,09-12-1983,57.0,0.0,1.0
20020917X04377,Accident,ATL83LA066,1982-12-16,"ANDERSON, SC",United States,,,AND,ANDERSON COUNTY,Non-Fatal,Substantial,Airplane,N61857,Boeing,A75N1,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,16-12-1983,2.0,0.0,1.0
20020917X04672,Incident,FTW83IA086,1982-12-26,"MEMPHIS, TN",United States,,,MEM,MEMPHIS INTL,Incident,Minor,Airplane,N6810,Boeing,727-223,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,American Airlines,0.0,0.0,0.0,58.0,IMC,Go-around,Probable Cause,26-12-1983,58.0,0.0,1.0
20020917X04343,Incident,ATL83IA085,1982-12-28,"WASHINGTON, DC",United States,,,,WASHINGTON NATIONAL,Incident,,Airplane,N752N,Boeing,737-222,No,2.0,Turbo Jet,Part 121: Air Carrier,SCHD,Unknown,Piedmont Airport,0.0,0.0,0.0,73.0,VMC,Approach,Probable Cause,28-12-1983,73.0,0.0,1.0
20001214X42024,Incident,LAX83IA073,1983-01-16,"LOS ANGELES, CA",United States,,,LAX,LOS ANGELES,Incident,Minor,,N9664,Boeing,747-123,No,4.0,Turbo Fan,,,Personal,,0.0,0.0,0.0,412.0,VMC,Taxi,Probable Cause,,412.0,0.0,1.0
20001214X41993,Incident,FTW83IA094,1983-01-20,"LUBBOCK, TX",United States,,,,,Incident,,,N68SW,Boeing,B-737-200,No,2.0,Turbo Jet,,SCHD,Unknown,,0.0,0.0,0.0,73.0,IMC,Taxi,Probable Cause,,73.0,0.0,1.0
20001214X42025,Incident,LAX83IA080,1983-01-23,"SAN DIEGO, CA",United States,,,SAN,LINDBERG,Incident,Minor,,N602TW,Boeing,767-231,No,2.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,159.0,VMC,Descent,Probable Cause,,159.0,0.0,1.0
20001214X42149,Incident,CHI83IA103,1983-02-04,"MILWAUKEE, WI",United States,,,,,Incident,Minor,,N1356P,Embraer,EMB-110,No,2.0,Turbo Prop,,SCHD,Unknown,Simmons Airlines,0.0,0.0,0.0,18.0,VMC,Cruise,Probable Cause,,18.0,0.0,1.0
20001214X42267,Incident,MIA83IA075,1983-02-15,"MIAMI, FL",United States,,,MIA,MIAMI INTERNATIONAL,Incident,Minor,,N8831E,Boeing,B-727-200,No,3.0,Turbo Fan,,SCHD,Unknown,Eastern Airlines,0.0,0.0,0.0,74.0,VMC,Takeoff,Probable Cause,,74.0,0.0,1.0
20001214X42497,Accident,LAX83LA151,1983-03-20,"MARANA, AZ",United States,,,004,,Non-Fatal,Substantial,,N59496,Boeing,D75N1,No,1.0,Reciprocating,,,Ferry,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,,1.0,0.0,1.0
20001214X42400,Incident,DEN83IA083,1983-03-21,"DENVER, CO",United States,,,DEN,STAPLETON INT'L,Incident,Minor,,N7358F,Boeing,737-200,No,2.0,Turbo Jet,,SCHD,Unknown,,0.0,0.0,0.0,82.0,VMC,Takeoff,Probable Cause,,82.0,0.0,1.0
20001214X42387,Accident,DCA83AA021,1983-03-23,"CASPER, WY",United States,,,CPR,CASPER,Non-Fatal,Minor,,N7381F,Boeing,737-2H4,No,2.0,Turbo Jet,,SCHD,Unknown,"Frontier Airlines, Inc. (dba: Frontier Airlines, Inc.)",0.0,1.0,0.0,95.0,VMC,Landing,Probable Cause,,96.0,0.0,0.9895833333333334
20001214X42540,Incident,MKC83IA083,1983-03-30,"DES MOINES, IA",United States,,,DSM,DES MOINES,Incident,Minor,,N7441U,Boeing,727-222,No,3.0,Turbo Fan,,SCHD,Unknown,United Airlines (dba: United Airlines),0.0,0.0,0.0,44.0,IMC,Taxi,Probable Cause,,44.0,0.0,1.0
20001214X42592,Accident,ATL83FA328,1983-04-02,"BALTIMORE, MD",United States,,,,,Non-Fatal,,,N8415,Boeing,707-323C,No,4.0,Turbo Fan,,NSCH,Unknown,Global Int'l Airways,0.0,1.0,0.0,190.0,VMC,Descent,Probable Cause,,191.0,0.0,0.9947643979057592
20001214X42590,Accident,ATL83FA171,1983-04-27,"KENNESAW, GA",United States,,,8A4,MCCOLLUM,Non-Fatal,Substantial,,N74189,Boeing,A75N1,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,,1.0,0.0,1.0
20001214X42983,Accident,FTW83LA219,1983-05-04,"IOWA, LA",United States,,,,,Non-Fatal,Substantial,,N65361,Boeing,A-75,No,1.0,Reciprocating,,UNK,Aerial Application,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,,1.0,0.0,1.0
20001214X43089,Accident,MKC83FA112,1983-05-20,"ST. LOUIS, MO",United States,,,STL,LAMBERT-ST. LOUIS INTNTL.,Non-Fatal,Substantial,,N40483,Boeing,727-100,No,3.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,52.0,VMC,Taxi,Probable Cause,,52.0,0.0,1.0
20001214X42949,Incident,DEN83IA119,1983-05-23,"COLORADO SPRING, CO",United States,,,,,Incident,Minor,,N840TW,Boeing,727-31H,No,3.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,25.0,VMC,Taxi,Probable Cause,,25.0,0.0,1.0
20001214X42871,Incident,ATL83IA197,1983-05-23,"MEMPHIS, TN",United States,,,MEM,MEMPHIS INT'L.,Incident,,,N752N,Boeing,B-737-222,No,2.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,59.0,VMC,Taxi,Probable Cause,,59.0,0.0,1.0
20001214X42872,Incident,ATL83IA201,1983-05-27,"CHARLOTTE, NC",United States,,,CLT,DOUGLAS INTL,Incident,Minor,,N856N,Boeing,727-200,No,3.0,Turbo Jet,,SCHD,Unknown,,0.0,0.0,0.0,150.0,VMC,Takeoff,Probable Cause,,150.0,0.0,1.0
20001214X43159,Accident,SEA83LA110,1983-05-27,"TURNER, WA",United States,,,,,Non-Fatal,Substantial,,N56426,Boeing,A75N1,No,1.0,Reciprocating,,UNK,Aerial Application,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,,1.0,0.0,1.0
20001214X42930,Accident,CHI83LA232,1983-05-27,"LEBANON, IN",United States,,,614,BOONE COUNTY,Fatal(1),Substantial,,N52470,Boeing,A75N1,No,1.0,Reciprocating,,,Personal,,1.0,1.0,0.0,1.0,VMC,Takeoff,Probable Cause,,3.0,0.3333333333333333,0.3333333333333333
20001214X43173,Incident,ANC83IA089,1983-06-01,"MEKORYUK, AK",United States,,,,,Incident,,,N234BV,Boeing,234ER,No,2.0,Turbo Shaft,,UNK,Business,,0.0,0.0,0.0,19.0,IMC,Climb,Probable Cause,,19.0,0.0,1.0
20001214X43534,Incident,SEA83IA116,1983-06-03,"PORTLAND, OR",United States,,,PDX,PORTLAND INTERNATIONAL,Incident,,,N296AS,Boeing,727-200,No,3.0,Turbo Jet,,SCHD,Unknown,Alaska Airlines,0.0,0.0,0.0,133.0,VMC,Standing,Probable Cause,,133.0,0.0,1.0
20001214X43435,Accident,MIA83FA159,1983-06-10,SAN JUAN,Puerto Rico,,,SJU,ISLA VERDE,Non-Fatal,,,HI242,Boeing,727-200,No,3.0,Turbo Fan,,SCHD,Unknown,,0.0,1.0,6.0,145.0,VMC,Standing,Probable Cause,,152.0,0.0,0.9539473684210527
20001214X43232,Accident,CHI83FA251,1983-06-11,"CHICAGO, IL",United States,,,ORD,O'HARE,Non-Fatal,Substantial,,N7273U,Boeing,727-222A,No,3.0,Turbo Fan,,SCHD,Unknown,,0.0,2.0,15.0,125.0,VMC,Takeoff,Probable Cause,,142.0,0.0,0.8802816901408451
20001214X43238,Incident,CHI83IA263,1983-06-16,"CHARLOTTE, NC",United States,,,ORD,O'HARE,Incident,Minor,,N782N,Boeing,737-201,No,2.0,Turbo Jet,,SCHD,Unknown,,0.0,0.0,0.0,102.0,IMC,Climb,Probable Cause,,102.0,0.0,1.0
20001214X43470,Accident,MKC83LA131,1983-06-19,"BENKELMAN, NE",United States,,,,,Non-Fatal,Substantial,,N54582,Boeing,A75N1,No,1.0,Reciprocating,,,Personal,,0.0,0.0,1.0,1.0,VMC,Cruise,Probable Cause,,2.0,0.0,0.5
20001214X43239,Incident,CHI83IA269B,1983-06-20,"CHICAGO, IL",United States,,,ORD,O'HARE,Incident,Minor,,N808FT,Boeing,B-747,No,4.0,Turbo Fan,,NSCH,Unknown,,0.0,0.0,0.0,440.0,VMC,Taxi,Probable Cause,,440.0,0.0,1.0
20001214X43239,Incident,CHI83IA269A,1983-06-20,"CHICAGO, IL",United States,,,ORD,O'HARE,Incident,Minor,,N4717U,Boeing,B-747,No,4.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,440.0,VMC,Standing,Probable Cause,,440.0,0.0,1.0
20001214X43273,Accident,CHI83LA275B,1983-06-22,"KALAMAZOO, MI",United States,,,AZO,KALAMAZOO MUNI.,Non-Fatal,Destroyed,,N801RB,Boeing,A75,No,1.0,Reciprocating,,,Business,,0.0,0.0,0.0,4.0,VMC,Taxi,Probable Cause,,4.0,0.0,1.0
20001214X43796,Incident,LAX83IA316,1983-07-02,"LOS ANGELES, CA",United States,,,LAX,LOS ANGELES INTERNATIONAL,Incident,Minor,,N88708,Boeing,727-200,No,3.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,1.0,133.0,VMC,Taxi,Probable Cause,,134.0,0.0,0.9925373134328358
20001214X43664,Accident,CHI83LA302,1983-07-10,"CINCINNATI, OH",United States,,,LUK,LUNKEN,Non-Fatal,Substantial,,N75849,Boeing,B75,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,,2.0,0.0,1.0
20001214X43731,Accident,FTW83FA332,1983-07-11,"WEBB, TX",United States,,,,,Non-Fatal,Destroyed,,N59085,Boeing,B75N1,No,1.0,Reciprocating,,UNK,Aerial Application,,0.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,,1.0,0.0,0.0
